gene,kegg_id,alia,copy
TPI1,hsa:7167,TPID,TPI1 (copy)
TPI1,hsa:7167,triosephosphate isomerase 1,TPI1 (copy)
GAPDH,hsa:2597,G3PD,GAPDH (copy)
GAPDH,hsa:2597,GAPD,GAPDH (copy)
GAPDH,hsa:2597,HEL-S-162eP,GAPDH (copy)
GAPDH,hsa:2597,glyceraldehyde-3-phosphate dehydrogenase,GAPDH (copy)
PGK1,hsa:5230,HEL-S-68p,PGK1 (copy)
PGK1,hsa:5230,MIG10,PGK1 (copy)
PGK1,hsa:5230,PGKA,PGK1 (copy)
PGK1,hsa:5230,phosphoglycerate kinase 1,PGK1 (copy)
GAPDHS,hsa:26330,GAPD2,GAPDHS (copy)
GAPDHS,hsa:26330,GAPDH-2,GAPDHS (copy)
GAPDHS,hsa:26330,GAPDS,GAPDHS (copy)
GAPDHS,hsa:26330,HEL-S-278,GAPDHS (copy)
GAPDHS,hsa:26330,HSD-35,GAPDHS (copy)
GAPDHS,hsa:26330,glyceraldehyde-3-phosphate dehydrogenase,GAPDHS (copy)
GAPDHS,hsa:26330,spermatogenic,GAPDHS (copy)
PGAM4,hsa:441531,PGAM-B,PGAM4 (copy)
PGAM4,hsa:441531,PGAM1,PGAM4 (copy)
PGAM4,hsa:441531,PGAM3,PGAM4 (copy)
PGAM4,hsa:441531,dJ1000K24.1,PGAM4 (copy)
PGAM4,hsa:441531,phosphoglycerate mutase family member 4,PGAM4 (copy)
PGAM1,hsa:5223,HEL-S-35,PGAM1 (copy)
PGAM1,hsa:5223,PGAM-B,PGAM1 (copy)
PGAM1,hsa:5223,PGAMA,PGAM1 (copy)
PGAM1,hsa:5223,phosphoglycerate mutase 1,PGAM1 (copy)
PGAM2,hsa:5224,GSD10,PGAM2 (copy)
PGAM2,hsa:5224,PGAM-M,PGAM2 (copy)
PGAM2,hsa:5224,PGAMM,PGAM2 (copy)
PGAM2,hsa:5224,phosphoglycerate mutase 2,PGAM2 (copy)
BPGM,hsa:669,DPGM,BPGM (copy)
BPGM,hsa:669,ECYT8,BPGM (copy)
BPGM,hsa:669,bisphosphoglycerate mutase,BPGM (copy)
ENO1,hsa:2023,ENO1L1,ENO1 (copy)
ENO1,hsa:2023,HEL-S-17,ENO1 (copy)
ENO1,hsa:2023,MPB1,ENO1 (copy)
ENO1,hsa:2023,NNE,ENO1 (copy)
ENO1,hsa:2023,PPH,ENO1 (copy)
ENO1,hsa:2023,enolase 1,ENO1 (copy)
ENO2,hsa:2026,HEL-S-279,ENO2 (copy)
ENO2,hsa:2026,NSE,ENO2 (copy)
ENO2,hsa:2026,enolase 2,ENO2 (copy)
ENO3,hsa:2027,GSD13,ENO3 (copy)
ENO3,hsa:2027,MSE,ENO3 (copy)
ENO3,hsa:2027,enolase 3,ENO3 (copy)
ENO4,hsa:387712,C10orf134,ENO4 (copy)
ENO4,hsa:387712,enolase 4,ENO4 (copy)
PDHA1,hsa:5160,PDHA,PDHA1 (copy)
PDHA1,hsa:5160,PDHAD,PDHA1 (copy)
PDHA1,hsa:5160,PDHCE1A,PDHA1 (copy)
PDHA1,hsa:5160,PHE1A,PDHA1 (copy)
PDHA1,hsa:5160,pyruvate dehydrogenase E1 subunit alpha 1,PDHA1 (copy)
DLAT,hsa:1737,DLTA,DLAT (copy)
DLAT,hsa:1737,E2,DLAT (copy)
DLAT,hsa:1737,PBC,DLAT (copy)
DLAT,hsa:1737,PDC-E2,DLAT (copy)
DLAT,hsa:1737,PDCE2,DLAT (copy)
DLAT,hsa:1737,dihydrolipoamide S-acetyltransferase,DLAT (copy)
PDHA2,hsa:5161,PDHAL,PDHA2 (copy)
PDHA2,hsa:5161,pyruvate dehydrogenase E1 subunit alpha 2,PDHA2 (copy)
PDHB,hsa:5162,PDHBD,PDHB (copy)
PDHB,hsa:5162,PDHE1-B,PDHB (copy)
PDHB,hsa:5162,PDHE1B,PDHB (copy)
PDHB,hsa:5162,PHE1B,PDHB (copy)
PDHB,hsa:5162,pyruvate dehydrogenase E1 subunit beta,PDHB (copy)
ALDH2,hsa:217,ALDH-E2,ALDH2 (copy)
ALDH2,hsa:217,ALDHI,ALDH2 (copy)
ALDH2,hsa:217,ALDM,ALDH2 (copy)
ALDH2,hsa:217,aldehyde dehydrogenase 2 family member,ALDH2 (copy)
ADH1A,hsa:124,ADH1,ADH1A (copy)
ADH1A,hsa:124,alcohol dehydrogenase 1A (class I),ADH1A (copy)
ADH1A,hsa:124,alpha polypeptide,ADH1A (copy)
ALDH1B1,hsa:219,ALDH5,ALDH1B1 (copy)
ALDH1B1,hsa:219,ALDHX,ALDH1B1 (copy)
ALDH1B1,hsa:219,aldehyde dehydrogenase 1 family member B1,ALDH1B1 (copy)
ALDH9A1,hsa:223,ALDH4,ALDH9A1 (copy)
ALDH9A1,hsa:223,ALDH7,ALDH9A1 (copy)
ALDH9A1,hsa:223,ALDH9,ALDH9A1 (copy)
ALDH9A1,hsa:223,E3,ALDH9A1 (copy)
ALDH9A1,hsa:223,TMABA-DH,ALDH9A1 (copy)
ALDH9A1,hsa:223,TMABADH,ALDH9A1 (copy)
ALDH9A1,hsa:223,TMABALDH,ALDH9A1 (copy)
ALDH9A1,hsa:223,aldehyde dehydrogenase 9 family member A1,ALDH9A1 (copy)
ALDH3A2,hsa:224,ALDH10,ALDH3A2 (copy)
ALDH3A2,hsa:224,FALDH,ALDH3A2 (copy)
ALDH3A2,hsa:224,SLS,ALDH3A2 (copy)
ALDH3A2,hsa:224,aldehyde dehydrogenase 3 family member A2,ALDH3A2 (copy)
ALDH7A1,hsa:501,ATQ1,ALDH7A1 (copy)
ALDH7A1,hsa:501,EPD,ALDH7A1 (copy)
ALDH7A1,hsa:501,PDE,ALDH7A1 (copy)
ALDH7A1,hsa:501,aldehyde dehydrogenase 7 family member A1,ALDH7A1 (copy)
ALDH3A1,hsa:218,ALDH3,ALDH3A1 (copy)
ALDH3A1,hsa:218,ALDHIII,ALDH3A1 (copy)
ALDH3A1,hsa:218,aldehyde dehydrogenase 3 family member A1,ALDH3A1 (copy)
ALDH3B1,hsa:221,ALDH4,ALDH3B1 (copy)
ALDH3B1,hsa:221,ALDH7,ALDH3B1 (copy)
ALDH3B1,hsa:221,aldehyde dehydrogenase 3 family member B1,ALDH3B1 (copy)
ALDH3B2,hsa:222,ALDH8,ALDH3B2 (copy)
ALDH3B2,hsa:222,aldehyde dehydrogenase 3 family member B2,ALDH3B2 (copy)
PKLR,hsa:5313,PK1,PKLR (copy)
PKLR,hsa:5313,PKL,PKLR (copy)
PKLR,hsa:5313,PKRL,PKLR (copy)
PKLR,hsa:5313,RPK,PKLR (copy)
PKLR,hsa:5313,pyruvate kinase L/R,PKLR (copy)
PKM,hsa:5315,CTHBP,PKM (copy)
PKM,hsa:5315,HEL-S-30,PKM (copy)
PKM,hsa:5315,OIP3,PKM (copy)
PKM,hsa:5315,PK3,PKM (copy)
PKM,hsa:5315,PKM2,PKM (copy)
PKM,hsa:5315,TCB,PKM (copy)
PKM,hsa:5315,THBP1,PKM (copy)
PKM,hsa:5315,p58,PKM (copy)
PKM,hsa:5315,pyruvate kinase M1/2,PKM (copy)
LDHAL6A,hsa:160287,LDH6A,LDHAL6A (copy)
LDHAL6A,hsa:160287,lactate dehydrogenase A like 6A,LDHAL6A (copy)
LDHA,hsa:3939,GSD11,LDHA (copy)
LDHA,hsa:3939,HEL-S-133P,LDHA (copy)
LDHA,hsa:3939,LDHM,LDHA (copy)
LDHA,hsa:3939,PIG19,LDHA (copy)
LDHA,hsa:3939,lactate dehydrogenase A,LDHA (copy)
LDHB,hsa:3945,HEL-S-281,LDHB (copy)
LDHB,hsa:3945,LDH-B,LDHB (copy)
LDHB,hsa:3945,LDH-H,LDHB (copy)
LDHB,hsa:3945,LDHBD,LDHB (copy)
LDHB,hsa:3945,TRG-5,LDHB (copy)
LDHB,hsa:3945,lactate dehydrogenase B,LDHB (copy)
LDHC,hsa:3948,CT32,LDHC (copy)
LDHC,hsa:3948,LDH3,LDHC (copy)
LDHC,hsa:3948,LDHX,LDHC (copy)
LDHC,hsa:3948,lactate dehydrogenase C,LDHC (copy)
LDHAL6B,hsa:92483,LDH6B,LDHAL6B (copy)
LDHAL6B,hsa:92483,LDHAL6,LDHAL6B (copy)
LDHAL6B,hsa:92483,LDHL,LDHAL6B (copy)
LDHAL6B,hsa:92483,lactate dehydrogenase A like 6B,LDHAL6B (copy)
G6PC2,hsa:57818,IGRP,G6PC2 (copy)
G6PC2,hsa:57818,glucose-6-phosphatase catalytic subunit 2,G6PC2 (copy)
G6PC3,hsa:92579,SCN4,G6PC3 (copy)
G6PC3,hsa:92579,UGRP,G6PC3 (copy)
G6PC3,hsa:92579,glucose-6-phosphatase catalytic subunit 3,G6PC3 (copy)
PGK2,hsa:5232,HEL-S-272,PGK2 (copy)
PGK2,hsa:5232,PGKB,PGK2 (copy)
PGK2,hsa:5232,PGKPS,PGK2 (copy)
PGK2,hsa:5232,dJ417L20.2,PGK2 (copy)
PGK2,hsa:5232,phosphoglycerate kinase 2,PGK2 (copy)
PCK1,hsa:5105,PCKDC,PCK1 (copy)
PCK1,hsa:5105,PEPCK-C,PCK1 (copy)
PCK1,hsa:5105,PEPCK1,PCK1 (copy)
PCK1,hsa:5105,PEPCKC,PCK1 (copy)
PCK1,hsa:5105,phosphoenolpyruvate carboxykinase 1,PCK1 (copy)
PCK2,hsa:5106,PEPCK,PCK2 (copy)
PCK2,hsa:5106,PEPCK-M,PCK2 (copy)
PCK2,hsa:5106,PEPCK2,PCK2 (copy)
PCK2,hsa:5106,phosphoenolpyruvate carboxykinase 2,PCK2 (copy)
PCK2,hsa:5106,mitochondrial,PCK2 (copy)
ACSS2,hsa:55902,ACAS2,ACSS2 (copy)
ACSS2,hsa:55902,ACECS,ACSS2 (copy)
ACSS2,hsa:55902,ACS,ACSS2 (copy)
ACSS2,hsa:55902,ACSA,ACSS2 (copy)
ACSS2,hsa:55902,AceCS1,ACSS2 (copy)
ACSS2,hsa:55902,dJ1161H23.1,ACSS2 (copy)
ACSS2,hsa:55902,acyl-CoA synthetase short chain family member 2,ACSS2 (copy)
ACSS1,hsa:84532,ACAS2L,ACSS1 (copy)
ACSS1,hsa:84532,ACECS1,ACSS1 (copy)
ACSS1,hsa:84532,AceCS2L,ACSS1 (copy)
ACSS1,hsa:84532,acyl-CoA synthetase short chain family member 1,ACSS1 (copy)
ADPGK,hsa:83440,2610017G09Rik,ADPGK (copy)
ADPGK,hsa:83440,ADP-GK,ADPGK (copy)
ADPGK,hsa:83440,ADP dependent glucokinase,ADPGK (copy)
MINPP1,hsa:9562,HIPER1,MINPP1 (copy)
MINPP1,hsa:9562,MINPP2,MINPP1 (copy)
MINPP1,hsa:9562,MIPP,MINPP1 (copy)
MINPP1,hsa:9562,PCH16,MINPP1 (copy)
MINPP1,hsa:9562,multiple inositol-polyphosphate phosphatase 1,MINPP1 (copy)
PC,hsa:5091,PCB,PC (copy)
PC,hsa:5091,pyruvate carboxylase,PC (copy)
ACLY,hsa:47,ACL,ACLY (copy)
ACLY,hsa:47,ATPCL,ACLY (copy)
ACLY,hsa:47,CLATP,ACLY (copy)
ACLY,hsa:47,ATP citrate lyase,ACLY (copy)
MDH1,hsa:4190,DEE88,MDH1 (copy)
MDH1,hsa:4190,EIEE88,MDH1 (copy)
MDH1,hsa:4190,HEL-S-32,MDH1 (copy)
MDH1,hsa:4190,KAR,MDH1 (copy)
MDH1,hsa:4190,MDH-s,MDH1 (copy)
MDH2,hsa:4191,DEE51,MDH2 (copy)
MDH2,hsa:4191,EIEE51,MDH2 (copy)
MDH2,hsa:4191,M-MDH,MDH2 (copy)
FH,hsa:2271,FMRD,FH (copy)
FH,hsa:2271,HLRCC,FH (copy)
FH,hsa:2271,HsFH,FH (copy)
FH,hsa:2271,LRCC,FH (copy)
FH,hsa:2271,MCL,FH (copy)
FH,hsa:2271,MCUL1,FH (copy)
FH,hsa:2271,fumarate hydratase,FH (copy)
SDHA,hsa:6389,CMD1GG,SDHA (copy)
SDHA,hsa:6389,FP,SDHA (copy)
SDHA,hsa:6389,MC2DN1,SDHA (copy)
SDHA,hsa:6389,NDAXOA,SDHA (copy)
SDHA,hsa:6389,PGL5,SDHA (copy)
SDHA,hsa:6389,SDH1,SDHA (copy)
SDHA,hsa:6389,SDH2,SDHA (copy)
SDHA,hsa:6389,SDHF,SDHA (copy)
SDHA,hsa:6389,succinate dehydrogenase complex flavoprotein subunit A,SDHA (copy)
SDHB,hsa:6390,CWS2,SDHB (copy)
SDHB,hsa:6390,IP,SDHB (copy)
SDHB,hsa:6390,MC2DN4,SDHB (copy)
SDHB,hsa:6390,PGL4,SDHB (copy)
SDHB,hsa:6390,SDH,SDHB (copy)
SDHB,hsa:6390,SDH1,SDHB (copy)
SDHB,hsa:6390,SDH2,SDHB (copy)
SDHB,hsa:6390,SDHIP,SDHB (copy)
SDHB,hsa:6390,succinate dehydrogenase complex iron sulfur subunit B,SDHB (copy)
SDHC,hsa:6391,CYB560,SDHC (copy)
SDHC,hsa:6391,CYBL,SDHC (copy)
SDHC,hsa:6391,PGL3,SDHC (copy)
SDHC,hsa:6391,QPS1,SDHC (copy)
SDHC,hsa:6391,SDH3,SDHC (copy)
SDHC,hsa:6391,succinate dehydrogenase complex subunit C,SDHC (copy)
SDHD,hsa:6392,CBT1,SDHD (copy)
SDHD,hsa:6392,CII-4,SDHD (copy)
SDHD,hsa:6392,CWS3,SDHD (copy)
SDHD,hsa:6392,MC2DN3,SDHD (copy)
SDHD,hsa:6392,PGL,SDHD (copy)
SDHD,hsa:6392,PGL1,SDHD (copy)
SDHD,hsa:6392,QPs3,SDHD (copy)
SDHD,hsa:6392,SDH4,SDHD (copy)
SDHD,hsa:6392,cybS,SDHD (copy)
SDHD,hsa:6392,succinate dehydrogenase complex subunit D,SDHD (copy)
SUCLG2,hsa:8801,G-SCS,SUCLG2 (copy)
SUCLG2,hsa:8801,GBETA,SUCLG2 (copy)
SUCLG2,hsa:8801,GTPSCS,SUCLG2 (copy)
SUCLG2,hsa:8801,succinate-CoA ligase GDP-forming subunit beta,SUCLG2 (copy)
SUCLG1,hsa:8802,GALPHA,SUCLG1 (copy)
SUCLG1,hsa:8802,MTDPS9,SUCLG1 (copy)
SUCLG1,hsa:8802,SUCLA1,SUCLG1 (copy)
SUCLG1,hsa:8802,succinate-CoA ligase GDP/ADP-forming subunit alpha,SUCLG1 (copy)
SUCLA2,hsa:8803,A-BETA,SUCLA2 (copy)
SUCLA2,hsa:8803,A-SCS,SUCLA2 (copy)
SUCLA2,hsa:8803,LINC00444,SUCLA2 (copy)
SUCLA2,hsa:8803,MTDPS5,SUCLA2 (copy)
SUCLA2,hsa:8803,SCS-betaA,SUCLA2 (copy)
SUCLA2,hsa:8803,succinate-CoA ligase ADP-forming subunit beta,SUCLA2 (copy)
DLST,hsa:1743,DLTS,DLST (copy)
DLST,hsa:1743,KGD2,DLST (copy)
DLST,hsa:1743,PGL7,DLST (copy)
DLST,hsa:1743,dihydrolipoamide S-succinyltransferase,DLST (copy)
DLD,hsa:1738,DLDD,DLD (copy)
DLD,hsa:1738,DLDH,DLD (copy)
DLD,hsa:1738,E3,DLD (copy)
DLD,hsa:1738,GCSL,DLD (copy)
DLD,hsa:1738,LAD,DLD (copy)
DLD,hsa:1738,OGDC-E3,DLD (copy)
DLD,hsa:1738,PHE3,DLD (copy)
DLD,hsa:1738,dihydrolipoamide dehydrogenase,DLD (copy)
OGDH,hsa:4967,AKGDH,OGDH (copy)
OGDH,hsa:4967,E1k,OGDH (copy)
OGDH,hsa:4967,KGD1,OGDH (copy)
OGDH,hsa:4967,OGDC,OGDH (copy)
OGDH,hsa:4967,OGDH2,OGDH (copy)
OGDH,hsa:4967,OGDHD,OGDH (copy)
OGDH,hsa:4967,oxoglutarate dehydrogenase,OGDH (copy)
OGDHL,hsa:55753,YOBELN,OGDHL (copy)
OGDHL,hsa:55753,oxoglutarate dehydrogenase L,OGDHL (copy)
IDH3A,hsa:3419,RP90,IDH3A (copy)
IDH3A,hsa:3419,isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha,IDH3A (copy)
IDH3B,hsa:3420,RP46,IDH3B (copy)
IDH3B,hsa:3420,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta,IDH3B (copy)
IDH3G,hsa:3421,H-IDHG,IDH3G (copy)
IDH3G,hsa:3421,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma,IDH3G (copy)
IDH1,hsa:3417,HEL-216,IDH1 (copy)
IDH1,hsa:3417,HEL-S-26,IDH1 (copy)
IDH1,hsa:3417,IDCD,IDH1 (copy)
IDH1,hsa:3417,IDH,IDH1 (copy)
IDH1,hsa:3417,IDP,IDH1 (copy)
IDH1,hsa:3417,IDPC,IDH1 (copy)
IDH1,hsa:3417,PICD,IDH1 (copy)
IDH1,hsa:3417,isocitrate dehydrogenase (NADP(+)) 1,IDH1 (copy)
IDH2,hsa:3418,D2HGA2,IDH2 (copy)
IDH2,hsa:3418,ICD-M,IDH2 (copy)
IDH2,hsa:3418,IDH,IDH2 (copy)
IDH2,hsa:3418,IDH-2,IDH2 (copy)
IDH2,hsa:3418,IDHM,IDH2 (copy)
IDH2,hsa:3418,IDP,IDH2 (copy)
IDH2,hsa:3418,IDPM,IDH2 (copy)
IDH2,hsa:3418,mNADP-IDH,IDH2 (copy)
IDH2,hsa:3418,isocitrate dehydrogenase (NADP(+)) 2,IDH2 (copy)
ACO1,hsa:48,ACONS,ACO1 (copy)
ACO1,hsa:48,HEL60,ACO1 (copy)
ACO1,hsa:48,IREB1,ACO1 (copy)
ACO1,hsa:48,IREBP,ACO1 (copy)
ACO1,hsa:48,IREBP1,ACO1 (copy)
ACO1,hsa:48,IRP1,ACO1 (copy)
ACO1,hsa:48,aconitase 1,ACO1 (copy)
ACO2,hsa:50,ACONM,ACO2 (copy)
ACO2,hsa:50,HEL-S-284,ACO2 (copy)
ACO2,hsa:50,ICRD,ACO2 (copy)
ACO2,hsa:50,OCA8,ACO2 (copy)
ACO2,hsa:50,OPA9,ACO2 (copy)
ACO2,hsa:50,aconitase 2,ACO2 (copy)
IDNK,hsa:414328,C9orf103,IDNK (copy)
IDNK,hsa:414328,bA522I20.2,IDNK (copy)
IDNK,hsa:414328,hGntK,IDNK (copy)
IDNK,hsa:414328,IDNK gluconokinase,IDNK (copy)
RGN,hsa:9104,GNL,RGN (copy)
RGN,hsa:9104,HEL-S-41,RGN (copy)
RGN,hsa:9104,RC,RGN (copy)
RGN,hsa:9104,SMP30,RGN (copy)
RGN,hsa:9104,regucalcin,RGN (copy)
PGD,hsa:5226,6PGD,PGD (copy)
PGD,hsa:5226,phosphogluconate dehydrogenase,PGD (copy)
PGLS,hsa:25796,6PGL,PGLS (copy)
PGLS,hsa:25796,HEL-S-304,PGLS (copy)
PGLS,hsa:25796,6-phosphogluconolactonase,PGLS (copy)
RPE,hsa:6120,RPE2-1,RPE (copy)
RPE,hsa:6120,ribulose-5-phosphate-3-epimerase,RPE (copy)
RPIA,hsa:22934,RPI,RPIA (copy)
RPIA,hsa:22934,RPIAD,RPIA (copy)
RPIA,hsa:22934,ribose 5-phosphate isomerase A,RPIA (copy)
TKT,hsa:7086,HEL-S-48,TKT (copy)
TKT,hsa:7086,HEL107,TKT (copy)
TKT,hsa:7086,SDDHD,TKT (copy)
TKT,hsa:7086,TK,TKT (copy)
TKT,hsa:7086,TKT1,TKT (copy)
TKT,hsa:7086,transketolase,TKT (copy)
TKTL1,hsa:8277,TKR,TKTL1 (copy)
TKTL1,hsa:8277,TKT2,TKTL1 (copy)
TKTL1,hsa:8277,transketolase like 1,TKTL1 (copy)
RBKS,hsa:64080,RBSK,RBKS (copy)
RBKS,hsa:64080,RK,RBKS (copy)
RBKS,hsa:64080,ribokinase,RBKS (copy)
PRPS1L1,hsa:221823,PRPS1,PRPS1L1 (copy)
PRPS1L1,hsa:221823,PRPS3,PRPS1L1 (copy)
PRPS1L1,hsa:221823,PRPSL,PRPS1L1 (copy)
PRPS1L1,hsa:221823,PRS-III,PRPS1L1 (copy)
PRPS1L1,hsa:221823,phosphoribosyl pyrophosphate synthetase 1 like 1,PRPS1L1 (copy)
PRPS1,hsa:5631,ARTS,PRPS1 (copy)
PRPS1,hsa:5631,CMTX5,PRPS1 (copy)
PRPS1,hsa:5631,DFN2,PRPS1 (copy)
PRPS1,hsa:5631,DFNX1,PRPS1 (copy)
PRPS1,hsa:5631,PPRibP,PRPS1 (copy)
PRPS1,hsa:5631,PRS-I,PRPS1 (copy)
PRPS1,hsa:5631,PRSI,PRPS1 (copy)
PRPS1,hsa:5631,phosphoribosyl pyrophosphate synthetase 1,PRPS1 (copy)
PRPS2,hsa:5634,PRSII,PRPS2 (copy)
PRPS2,hsa:5634,phosphoribosyl pyrophosphate synthetase 2,PRPS2 (copy)
TALDO1,hsa:6888,TAL,TALDO1 (copy)
TALDO1,hsa:6888,TAL-H,TALDO1 (copy)
TALDO1,hsa:6888,TALDOR,TALDO1 (copy)
TALDO1,hsa:6888,TALH,TALDO1 (copy)
TALDO1,hsa:6888,transaldolase 1,TALDO1 (copy)
DERA,hsa:51071,CGI-26,DERA (copy)
DERA,hsa:51071,DEOC,DERA (copy)
DERA,hsa:51071,deoxyribose-phosphate aldolase,DERA (copy)
GLYCTK,hsa:132158,HBEBP2,GLYCTK (copy)
GLYCTK,hsa:132158,HBEBP4,GLYCTK (copy)
GLYCTK,hsa:132158,HBeAgBP4A,GLYCTK (copy)
GLYCTK,hsa:132158,glycerate kinase,GLYCTK (copy)
H6PD,hsa:9563,CORTRD1,H6PD (copy)
H6PD,hsa:9563,G6PDH,H6PD (copy)
H6PD,hsa:9563,GDH,H6PD (copy)
H6PD,hsa:9563,H6PDH,H6PD (copy)
H6PD,hsa:9563,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,H6PD (copy)
G6PD,hsa:2539,G6PD1,G6PD (copy)
G6PD,hsa:2539,glucose-6-phosphate dehydrogenase,G6PD (copy)
GUSB,hsa:2990,BG,GUSB (copy)
GUSB,hsa:2990,MPS7,GUSB (copy)
GUSB,hsa:2990,glucuronidase beta,GUSB (copy)
KL,hsa:9365,HFTC3,KL (copy)
KL,hsa:9365,KLA,KL (copy)
KL,hsa:9365,klotho,KL (copy)
UGDH,hsa:7358,DEE84,UGDH (copy)
UGDH,hsa:7358,EIEE84,UGDH (copy)
UGDH,hsa:7358,GDH,UGDH (copy)
UGDH,hsa:7358,UDP-GlcDH,UGDH (copy)
UGDH,hsa:7358,UDPGDH,UGDH (copy)
