Entry,Entry_Name,Gene_Names,Protein_names,Gene_Names_synonym,gene_id,HGNC_name,HGNC_prev_name,HGNC_alias_name,HGNC_alias_symbol,NCBI_nomenclaturename,NCBI_otheraliases,Gene_name(primary)
O00168,PLM_HUMAN,FXYD1; PLM,Phospholemman; FXYD domain-containing ion transport regulator 1; Sodium/potassium-transporting ATPase subunit FXYD1,PLM,5348,FXYD domain containing ion transport regulator 1,phospholemman,,,FXYD domain containing ion transport regulator 1,PLM,FXYD1
O00170,AIP_HUMAN,AIP; XAP2,AH receptor-interacting protein; AIP; Aryl-hydrocarbon receptor-interacting protein; HBV X-associated protein 2; XAP-2; Immunophilin homolog ARA9,XAP2,9049,AHR interacting HSP90 co-chaperone,aryl hydrocarbon receptor interacting protein; aryl hydrocarbon receptor-interacting protein,hepatitis B virus X-associated cellular protein 2; aryl hydrocarbon receptor-associated protein 9; FKBP prolyl isomerase 16; X-associated protein-2; FK506-binding protein 37; Ah receptor activated 9,XAP2; ARA9; FKBP16; FKBP37,AHR interacting HSP90 co-chaperone,ARA9; FKBP16; FKBP37; PITA1; SMTPHN; XAP-2; XAP2,AIP
O00206,TLR4_HUMAN,TLR4,Toll-like receptor 4; hToll; CD antigen CD284,,7099,toll like receptor 4,toll-like receptor 4,,hToll; CD284; TLR-4; ARMD10,toll like receptor 4,ARMD10; CD284; TLR-4; TOLL,TLR4
O00213,APBB1_HUMAN,APBB1; FE65; RIR,Amyloid beta precursor protein binding family B member 1; Amyloid-beta A4 precursor protein-binding family B member 1; Protein Fe65,FE65; RIR,322,amyloid beta precursor protein binding family B member 1,amyloid beta (A4) precursor protein-binding; family B; member 1 (Fe65),,Fe65,amyloid beta precursor protein binding family B member 1,FE65; MGC:9072; RIR,APBB1
O00221,IKBE_HUMAN,NFKBIE; IKBE,NF-kappa-B inhibitor epsilon; NF-kappa-BIE; I-kappa-B-epsilon; IkB-E; IkB-epsilon; IkappaBepsilon,IKBE,4794,NFKB inhibitor epsilon,nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor; epsilon,NF-kappa-B inhibitor epsilon,IKBE,NFKB inhibitor epsilon,IKBE,NFKBIE
O00231,PSD11_HUMAN,PSMD11,26S proteasome non-ATPase regulatory subunit 11; 26S proteasome regulatory subunit RPN6; 26S proteasome regulatory subunit S9; 26S proteasome regulatory subunit p44.5,,5717,proteasome 26S subunit; non-ATPase 11,proteasome (prosome; macropain) 26S subunit; non-ATPase; 11,,S9; p44.5; MGC3844; Rpn6,proteasome 26S subunit; non-ATPase 11,Rpn6; S9; p44.5,PSMD11
O00238,BMR1B_HUMAN,BMPR1B,Bone morphogenetic protein receptor type-1B; BMP type-1B receptor; BMPR-1B; EC 2.7.11.30; CD antigen CDw293,,658,bone morphogenetic protein receptor type 1B,bone morphogenetic protein receptor; type IB,,ALK6; CDw293,bone morphogenetic protein receptor type 1B,ALK-6; ALK6; AMD3; AMDD; BDA1D; BDA2; CDw293,BMPR1B
O00255,MEN1_HUMAN,MEN1; SCG2,Menin,SCG2,4221,menin 1,multiple endocrine neoplasia I,menin,,menin 1,MEAI; SCG2,MEN1
O00257,CBX4_HUMAN,CBX4,E3 SUMO-protein ligase CBX4; EC 2.3.2.-; Chromobox protein homolog 4; Polycomb 2 homolog; Pc2; hPc2,,8535,chromobox 4,chromobox homolog 4 (Drosophila Pc class); chromobox homolog 4,NS5ATP1-binding protein 16; Pc class 2 homolog (Drosophila); E3 SUMO-protein ligase CBX4,hPC2; PC2; NBP16,chromobox 4,NBP16; PC2,CBX4
O00267,SPT5H_HUMAN,SUPT5H; SPT5; SPT5H,Transcription elongation factor SPT5; hSPT5; DRB sensitivity-inducing factor 160 kDa subunit; DSIF p160; DRB sensitivity-inducing factor large subunit; DSIF large subunit; Tat-cotransactivator 1 protein; Tat-CT1 protein,SPT5; SPT5H,6829,SPT5 homolog; DSIF elongation factor subunit,suppressor of Ty (S.cerevisiae) 5 homolog; suppressor of Ty 5 homolog (S. cerevisiae),,SPT5H; SPT5; FLJ34157,SPT5 homolog; DSIF elongation factor subunit,SPT5; SPT5H; Tat-CT1,SUPT5H
O00303,EIF3F_HUMAN,EIF3F; EIF3S5,Eukaryotic translation initiation factor 3 subunit F; eIF3f; Deubiquitinating enzyme eIF3f; EC 3.4.19.12; Eukaryotic translation initiation factor 3 subunit 5; eIF-3-epsilon; eIF3 p47,EIF3S5,8665,eukaryotic translation initiation factor 3 subunit F,eukaryotic translation initiation factor 3; subunit 5 epsilon; 47kDa; eukaryotic translation initiation factor 3; subunit F,,eIF3-epsilon; eIF3-p47,eukaryotic translation initiation factor 3 subunit F,EIF3S5; MRT67; eIF3-p47,EIF3F
O00305,CACB4_HUMAN,CACNB4; CACNLB4,Voltage-dependent L-type calcium channel subunit beta-4; CAB4; Calcium channel voltage-dependent subunit beta 4,CACNLB4,785,calcium voltage-gated channel auxiliary subunit beta 4,calcium channel; voltage-dependent; beta 4 subunit,,EJM4,calcium voltage-gated channel auxiliary subunit beta 4,CAB4; CACNLB4; EA5; EIG9; EJM; EJM4; EJM6,CACNB4
O00311,CDC7_HUMAN,CDC7; CDC7L1,Cell division cycle 7-related protein kinase; CDC7-related kinase; HsCdc7; huCdc7; EC 2.7.11.1,CDC7L1,8317,cell division cycle 7,CDC7 (cell division cycle 7; S. cerevisiae; homolog)-like 1; CDC7 cell division cycle 7 (S. cerevisiae); cell division cycle 7 (S. cerevisiae); cell division cycle 7 homolog (S. cerevisiae),,Hsk1; huCdc7; HsCdc7,cell division cycle 7,CDC7L1; HsCDC7; Hsk1; huCDC7,CDC7
O00327,BMAL1_HUMAN,BMAL1; ARNTL; BHLHE5; MOP3; PASD3,Basic helix-loop-helix ARNT-like protein 1; Aryl hydrocarbon receptor nuclear translocator-like protein 1; Basic-helix-loop-helix-PAS protein MOP3; Brain and muscle ARNT-like 1; Class E basic helix-loop-helix protein 5; bHLHe5; Member of PAS protein 3; PAS domain-containing protein 3; bHLH-PAS protein JAP3,ARNTL; BHLHE5; MOP3; PASD3,406,basic helix-loop-helix ARNT like 1,aryl hydrocarbon receptor nuclear translocator like,brain and muscle ARNT-like 1; basic helix-loop-helix family member e5; PAS domain containing 3; member of PAS superfamily 3,MOP3; JAP3; PASD3; bHLHe5; ARNTL1,basic helix-loop-helix ARNT like 1,ARNTL; ARNTL1; BMAL1c; JAP3; MOP3; PASD3; TIC; bHLHe5,BMAL1
O00329,PK3CD_HUMAN,PIK3CD,Phosphatidylinositol 4;5-bisphosphate 3-kinase catalytic subunit delta isoform; PI3-kinase subunit delta; PI3K-delta; PI3Kdelta; PtdIns-3-kinase subunit delta; EC 2.7.1.137; EC 2.7.1.153; Phosphatidylinositol 4;5-bisphosphate 3-kinase 110 kDa catalytic subunit delta; PtdIns-3-kinase subunit p110-delta; p110delta,,5293,phosphatidylinositol-4;5-bisphosphate 3-kinase catalytic subunit delta,phosphoinositide-3-kinase; catalytic; delta polypeptide; phosphatidylinositol-4;5-bisphosphate 3-kinase; catalytic subunit delta,phosphatidylinositol 3-kinase; catalytic; delta polypeptide; phosphoinositide-3-kinase C,p110D,phosphatidylinositol-4;5-bisphosphate 3-kinase catalytic subunit delta,APDS; IMD14; IMD14A; IMD14B; P110DELTA; PI3K; ROCHIS; p110D,PIK3CD
O00399,DCTN6_HUMAN,DCTN6; WS3,Dynactin subunit 6; Dynactin subunit p27; Protein WS-3,WS3,10671,dynactin subunit 6,dynactin 6,Dynactin subunit p27,WS-3; p27,dynactin subunit 6,WS-3; WS3; p27,DCTN6
O00401,WASL_HUMAN,WASL,Actin nucleation-promoting factor WASL; Neural Wiskott-Aldrich syndrome protein; N-WASP,,8976,WASP like actin nucleation promoting factor,Wiskott-Aldrich syndrome-like; Wiskott-Aldrich syndrome like,,N-WASP; NWASP; WASPB,WASP like actin nucleation promoting factor,N-WASP; NWASP; WASPB,WASL
O00418,EF2K_HUMAN,EEF2K,Eukaryotic elongation factor 2 kinase; eEF-2 kinase; eEF-2K; EC 2.7.11.20; Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase,,29904,eukaryotic elongation factor 2 kinase,,,eEF-2K; CaMKIII,eukaryotic elongation factor 2 kinase,CaMKIII; HSU93850; eEF-2K,EEF2K
O00429,DNM1L_HUMAN,DNM1L; DLP1; DRP1,Dynamin-1-like protein; EC 3.6.5.5; Dnm1p/Vps1p-like protein; DVLP; Dynamin family member proline-rich carboxyl-terminal domain less; Dymple; Dynamin-like protein; Dynamin-like protein 4; Dynamin-like protein IV; HdynIV; Dynamin-related protein 1,DLP1; DRP1,10059,dynamin 1 like,,,DRP1; DVLP; HDYNIV; DYMPLE; VPS1,dynamin 1 like,DLP1; DRP1; DVLP; DYMPLE; EMPF; EMPF1; HDYNIV; OPA5,DNM1L
O00443,P3C2A_HUMAN,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha; PI3K-C2-alpha; PtdIns-3-kinase C2 subunit alpha; EC 2.7.1.137; EC 2.7.1.153; EC 2.7.1.154; Phosphoinositide 3-kinase-C2-alpha,,5286,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha,phosphoinositide-3-kinase; class 2; alpha polypeptide; phosphatidylinositol-4-phosphate 3-kinase; catalytic subunit type 2 alpha,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,PI3K-C2alpha,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha,CPK; OCSKD; PI3-K-C2(ALPHA); PI3-K-C2A; PI3K-C2-alpha; PI3K-C2alpha,PIK3C2A
O00444,PLK4_HUMAN,PLK4; SAK; STK18,Serine/threonine-protein kinase PLK4; EC 2.7.11.21; Polo-like kinase 4; PLK-4; Serine/threonine-protein kinase 18; Serine/threonine-protein kinase Sak,SAK; STK18,10733,polo like kinase 4,serine/threonine kinase 18; polo-like kinase 4 (Drosophila); polo-like kinase 4,,Sak,polo like kinase 4,MCCRP2; SAK; STK18,PLK4
O00459,P85B_HUMAN,PIK3R2,Phosphatidylinositol 3-kinase regulatory subunit beta; PI3-kinase regulatory subunit beta; PI3K regulatory subunit beta; PtdIns-3-kinase regulatory subunit beta; Phosphatidylinositol 3-kinase 85 kDa regulatory subunit beta; PI3-kinase subunit p85-beta; PtdIns-3-kinase regulatory subunit p85-beta,,5296,phosphoinositide-3-kinase regulatory subunit 2,phosphoinositide-3-kinase; regulatory subunit 2 (beta),phosphoinositide-3-kinase regulatory subunit beta,P85B; p85; p85beta; p85-BETA,phosphoinositide-3-kinase regulatory subunit 2,MPPH; MPPH1; P85B; p85; p85-BETA; p85beta,PIK3R2
O00463,TRAF5_HUMAN,TRAF5; RNF84,TNF receptor-associated factor 5; RING finger protein 84,RNF84,7188,TNF receptor associated factor 5,,,RNF84,TNF receptor associated factor 5,MGC:39780; RNF84,TRAF5
O00482,NR5A2_HUMAN,NR5A2; B1F; CPF; FTF,Nuclear receptor subfamily 5 group A member 2; Alpha-1-fetoprotein transcription factor; B1-binding factor; hB1F; CYP7A promoter-binding factor; Hepatocytic transcription factor; Liver receptor homolog 1; LRH-1,B1F; CPF; FTF,2494,nuclear receptor subfamily 5 group A member 2,nuclear receptor subfamily 5; group A; member 2,liver receptor homolog-1,FTZ-F1beta; hB1F; LRH-1; FTZ-F1; hB1F-2; B1F2; LRH1,nuclear receptor subfamily 5 group A member 2,B1F; B1F2; CPF; FTF; FTZ-F1; FTZ-F1beta; LRH-1; LRH1; hB1F-2,NR5A2
O00506,STK25_HUMAN,STK25; SOK1; YSK1,Serine/threonine-protein kinase 25; EC 2.7.11.1; Ste20-like kinase; Sterile 20/oxidant stress-response kinase 1; SOK-1; Ste20/oxidant stress response kinase 1,SOK1; YSK1,10494,serine/threonine kinase 25,serine/threonine kinase 25 (Ste20; yeast homolog),,SOK1; YSK1,serine/threonine kinase 25,SOK1; YSK1,STK25
O00560,SDCB1_HUMAN,SDCBP; MDA9; SYCL,Syntenin-1; Melanoma differentiation-associated protein 9; MDA-9; Pro-TGF-alpha cytoplasmic domain-interacting protein 18; TACIP18; Scaffold protein Pbp1; Syndecan-binding protein 1,MDA9; SYCL,6386,syndecan binding protein,,syntenin; syntenin-1,SYCL; MDA-9; SDCBP1,syndecan binding protein,MDA-9; MDA9; SDCBP1; ST1; SYCL; TACIP18,SDCBP
O00562,PITM1_HUMAN,PITPNM1; DRES9; NIR2; PITPNM,Membrane-associated phosphatidylinositol transfer protein 1; Drosophila retinal degeneration B homolog; Phosphatidylinositol transfer protein; membrane-associated 1; PITPnm 1; Pyk2 N-terminal domain-interacting receptor 2; NIR-2,DRES9; NIR2; PITPNM,9600,phosphatidylinositol transfer protein membrane associated 1,phosphatidylinositol transfer protein; membrane associated 1,PYK2 N-terminal domain-interacting receptor 2; retinal degeneration B alpha 1,DRES9; NIR2; RDGB1; RDGBA1; Rd9; RDGB,phosphatidylinositol transfer protein membrane associated 1,DRES9; NIR2; PITPNM; RDGB; RDGB1; RDGBA; RDGBA1; Rd9,PITPNM1
O00566,MPP10_HUMAN,MPHOSPH10; MPP10,U3 small nucleolar ribonucleoprotein protein MPP10; M phase phosphoprotein 10,MPP10,10199,M-phase phosphoprotein 10,M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein),protein phosphatase 1; regulatory subunit 106; U3 small nucleolar ribonucleoprotein,MPP10; MPP10P; CT90; PPP1R106,M-phase phosphoprotein 10,CT90; MPP10; MPP10P; PPP1R106,MPHOSPH10
O00571,DDX3X_HUMAN,DDX3X; DBX; DDX3,ATP-dependent RNA helicase DDX3X; EC 3.6.4.13; CAP-Rf; DEAD box protein 3; X-chromosomal; DEAD box; X isoform; DBX; Helicase-like protein 2; HLP2,DBX; DDX3,1654,DEAD-box helicase 3 X-linked,DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3; DEAD (Asp-Glu-Ala-Asp) box polypeptide 3; X-linked; DEAD (Asp-Glu-Ala-Asp) box helicase 3; X-linked,Helicase-like protein 2,DBX; HLP2; DDX14; CAP-Rf,DEAD-box helicase 3 X-linked,CAP-Rf; DBX; DDX14; DDX3; HLP2; MRX102; MRXSSB,DDX3X
O00574,CXCR6_HUMAN,CXCR6; BONZO; STRL33; TYMSTR,C-X-C chemokine receptor type 6; CXC-R6; CXCR-6; CDw186; G-protein coupled receptor STRL33; G-protein coupled receptor bonzo; CD antigen CD186,BONZO; STRL33; TYMSTR,10663,C-X-C motif chemokine receptor 6,chemokine (C-X-C motif) receptor 6,,TYMSTR; STRL33; BONZO; CD186,C-X-C motif chemokine receptor 6,BONZO; CD186; CDw186; STRL33; TYMSTR,CXCR6
O00631,SARCO_HUMAN,SLN,Sarcolipin,,6588,sarcolipin,,,MGC12301; MGC125854; MGC125855,sarcolipin,,SLN
O00716,E2F3_HUMAN,E2F3; KIAA0075,Transcription factor E2F3; E2F-3,KIAA0075,1871,E2F transcription factor 3,,,,E2F transcription factor 3,E2F-3,E2F3
O00743,PPP6_HUMAN,PPP6C; PPP6,Serine/threonine-protein phosphatase 6 catalytic subunit; PP6C; EC 3.1.3.16,PPP6,5537,protein phosphatase 6 catalytic subunit,protein phosphatase 6; catalytic subunit,,PP6,protein phosphatase 6 catalytic subunit,PP6; PP6C,PPP6C
O00744,WN10B_HUMAN,WNT10B; WNT12,Protein Wnt-10b; Protein Wnt-12,WNT12,7480,Wnt family member 10B,wingless-type MMTV integration site family; member 10B,,WNT-12; SHFM6,Wnt family member 10B,SHFM6; STHAG8; WNT-12,WNT10B
O00755,WNT7A_HUMAN,WNT7A,Protein Wnt-7a,,7476,Wnt family member 7A,wingless-type MMTV integration site family; member 7A,proto-oncogene Wnt7a protein,Wnt-7a,Wnt family member 7A,SANTOS; Wnt-7a,WNT7A
O00763,ACACB_HUMAN,ACACB; ACC2; ACCB,Acetyl-CoA carboxylase 2; EC 6.4.1.2; ACC-beta,ACC2; ACCB,32,acetyl-CoA carboxylase beta,acetyl-Coenzyme A carboxylase beta,acetyl-CoA carboxylase 2,HACC275; ACC2; ACCB; ACC-beta; ACCbeta; ACACbeta,acetyl-CoA carboxylase beta,ACACbeta; ACC-beta; ACC2; ACCB; ACCbeta; HACC275,ACACB
O00767,SCD_HUMAN,SCD; FADS5; SCD1; SCDOS,Stearoyl-CoA desaturase; hSCD1; EC 1.14.19.1; Acyl-CoA desaturase; Delta(9; Delta-9 desaturase; Fatty acid desaturase,FADS5; SCD1; SCDOS,6319,stearoyl-CoA desaturase,stearoyl-CoA desaturase opposite strand; stearoyl-CoA desaturase (delta-9-desaturase),acyl-CoA desaturase; fatty acid desaturase; delta-9-desaturase,FADS5; SCD1,stearoyl-CoA desaturase,FADS5; MSTP008; SCD1; SCDOS; hSCD1,SCD
O14490,DLGP1_HUMAN,DLGAP1; DAP1; GKAP,Disks large-associated protein 1; DAP-1; Guanylate kinase-associated protein; hGKAP; PSD-95/SAP90-binding protein 1; SAP90/PSD-95-associated protein 1; SAPAP1,DAP1; GKAP,9229,DLG associated protein 1,discs; large (Drosophila) homolog-associated protein 1; discs large homolog associated protein 1,,GKAP; SAPAP1; DAP-1,DLG associated protein 1,DAP-1; DAP-1-ALPHA; DAP-1-BETA; DAP1; DLGAP1A; DLGAP1B; GKAP; SAPAP1,DLGAP1
O14493,CLD4_HUMAN,CLDN4; CPER; CPETR1; WBSCR8,Claudin-4; Clostridium perfringens enterotoxin receptor; CPE-R; CPE-receptor; Williams-Beuren syndrome chromosomal region 8 protein,CPER; CPETR1; WBSCR8,1364,claudin 4,,Clostridium perfringens enterotoxin receptor 1; Williams-Beuren syndrome chromosomal region 8 protein,CPE-R; WBSCR8; hCPE-R,claudin 4,CPE-R; CPER; CPETR; CPETR1; WBSCR8; hCPE-R,CLDN4
O14497,ARI1A_HUMAN,ARID1A; BAF250; BAF250A; C1orf4; OSA1; SMARCF1,AT-rich interactive domain-containing protein 1A; ARID domain-containing protein 1A; B120; BRG1-associated factor 250; BAF250; BRG1-associated factor 250a; BAF250A; Osa homolog 1; hOSA1; SWI-like protein; SWI/SNF complex protein p270; SWI/SNF-related; matrix-associated; actin-dependent regulator of chromatin subfamily F member 1; hELD,BAF250; BAF250A; C1orf4; OSA1; SMARCF1,8289,AT-rich interaction domain 1A,SWI/SNF related; matrix associated; actin dependent regulator of chromatin; subfamily f; member 1; AT rich interactive domain 1A (SWI- like); AT rich interactive domain 1A (SWI-like),,B120; P270; C10rf4; BAF250; BAF250a,AT-rich interaction domain 1A,B120; BAF250; BAF250a; BM029; C1orf4; CSS2; ELD; MRD14; OSA1; P270; SMARCF1; hELD; hOSA1,ARID1A
O14508,SOCS2_HUMAN,SOCS2; CIS2; SSI2; STATI2,Suppressor of cytokine signaling 2; SOCS-2; Cytokine-inducible SH2 protein 2; CIS-2; STAT-induced STAT inhibitor 2; SSI-2,CIS2; SSI2; STATI2,8835,suppressor of cytokine signaling 2,,STAT-induced STAT inhibitor-2,STATI2; SSI2; SOCS-2; SSI-2; CIS2; Cish2,suppressor of cytokine signaling 2,CIS2; Cish2; SOCS-2; SSI-2; SSI2; STATI2,SOCS2
O14519,CDKA1_HUMAN,CDK2AP1; CDKAP1; DOC1,Cyclin-dependent kinase 2-associated protein 1; CDK2-associated protein 1; Deleted in oral cancer 1; DOC-1; Putative oral cancer suppressor,CDKAP1; DOC1,8099,cyclin dependent kinase 2 associated protein 1,CDK2-associated protein 1,,DORC1; doc-1; DOC1; ST19; p12DOC-1,cyclin dependent kinase 2 associated protein 1,DOC1; DORC1; ST19; doc-1; p12DOC-1,CDK2AP1
O14522,PTPRT_HUMAN,PTPRT; KIAA0283,Receptor-type tyrosine-protein phosphatase T; R-PTP-T; EC 3.1.3.48; Receptor-type tyrosine-protein phosphatase rho; RPTP-rho,KIAA0283,11122,protein tyrosine phosphatase receptor type T,,,RPTPrho; KIAA0283,protein tyrosine phosphatase receptor type T,R-PTP-T; RPTP-rho; RPTPrho,PTPRT
O14543,SOCS3_HUMAN,SOCS3; CIS3; SSI3,Suppressor of cytokine signaling 3; SOCS-3; Cytokine-inducible SH2 protein 3; CIS-3; STAT-induced STAT inhibitor 3; SSI-3,CIS3; SSI3,9021,suppressor of cytokine signaling 3,,,SSI-3; CIS3; SOCS-3; Cish3,suppressor of cytokine signaling 3,ATOD4; CIS3; Cish3; SOCS-3; SSI-3; SSI3,SOCS3
O14558,HSPB6_HUMAN,HSPB6,Heat shock protein beta-6; HspB6; Heat shock 20 kDa-like protein p20; Heat shock protein family B member 6,,126393,heat shock protein family B (small) member 6,heat shock protein; alpha-crystallin-related; B6,protein phosphatase 1; regulatory subunit 91,FLJ32389; Hsp20; PPP1R91,heat shock protein family B (small) member 6,HEL55; Hsp20; PPP1R91,HSPB6
O14559,RHG33_HUMAN,ARHGAP33; SNX26; TCGAP,Rho GTPase-activating protein 33; Rho-type GTPase-activating protein 33; Sorting nexin-26; Tc10/CDC42 GTPase-activating protein,SNX26; TCGAP,115703,Rho GTPase activating protein 33,sorting nexin 26,,FLJ39019; TCGAP,Rho GTPase activating protein 33,NOMA-GAP; SNX26; TCGAP,ARHGAP33
O14578,CTRO_HUMAN,CIT; CRIK; KIAA0949; STK21,Citron Rho-interacting kinase; CRIK; EC 2.7.11.1; Serine/threonine-protein kinase 21,CRIK; KIAA0949; STK21,11113,citron rho-interacting serine/threonine kinase,citron (rho-interacting; serine/threonine kinase 21),serine/threonine kinase 21,KIAA0949; STK21; CRIK; CITK,citron rho-interacting serine/threonine kinase,CITK; CRIK; MCPH17; STK21,CIT
O14595,CTDS2_HUMAN,CTDSP2; NIF2; OS4; SCP2,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2; EC 3.1.3.16; Nuclear LIM interactor-interacting factor 2; NLI-interacting factor 2; Protein OS-4; Small C-terminal domain phosphatase 2; Small CTD phosphatase 2; SCP2,NIF2; OS4; SCP2,10106,CTD small phosphatase 2,CTD (carboxy-terminal domain; RNA polymerase II; polypeptide A) small phosphatase 2,conserved gene amplified in osteosarcoma; nuclear LIM interactor-interacting factor 2; NLI-interacting factor 2; small CTD phosphatase 2,OS4; SCP2; PSR2,CTD small phosphatase 2,OS4; PSR2; SCP2,CTDSP2
O14610,GBGT2_HUMAN,GNGT2; GNG8; GNG9; GNGT8,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2; I; S; O; G gamma-C; G-gamma-8; G-gamma-9; Guanine nucleotide binding protein gamma transducing activity polypeptide 2,GNG8; GNG9; GNGT8,2793,G protein subunit gamma transducin 2,guanine nucleotide binding protein (G protein); gamma transducing activity polypeptide 2,,GNG9,G protein subunit gamma transducin 2,G-GAMMA-8; G-GAMMA-C; GNG9; GNGT8; HG3I,GNGT2
O14640,DVL1_HUMAN,DVL1,Segment polarity protein dishevelled homolog DVL-1; Dishevelled-1; DSH homolog 1,,1855,dishevelled segment polarity protein 1,dishevelled 1 (homologous to Drosophila dsh); dishevelled; dsh homolog 1 (Drosophila),,,dishevelled segment polarity protein 1,DRS2; DVL; DVL1L1; DVL1P1,DVL1
O14641,DVL2_HUMAN,DVL2,Segment polarity protein dishevelled homolog DVL-2; Dishevelled-2; DSH homolog 2,,1856,dishevelled segment polarity protein 2,dishevelled 2 (homologous to Drosophila dsh); dishevelled; dsh homolog 2 (Drosophila),,,dishevelled segment polarity protein 2,,DVL2
